Mercury,Venus,Mars
5.806281081725204,9.4805274114893,11.392436087158883
5.8048428057958645,9.54899471148665,11.461208487764281
5.80904467188883,9.615258706867953,11.547281065255147
5.836925560601232,9.685540769621488,11.612277984960574
5.879115579744967,9.74766638739755,11.696978242264112
5.92602733709523,9.804172581100355,11.767909754922496
6.014790104400983,9.884260215109677,11.845442161439141
6.095088186400587,9.94871851044143,11.918745739380467
6.192204776975645,10.015413121783844,11.980070951375872
6.305695837891327,10.066429357026255,12.068989187168908
6.41942365014181,10.131317782006445,12.136828251235986
6.571240369975824,10.20811931748449,12.210589666351089
6.704103221162395,10.260458079442651,12.289589089957401
6.852714790504563,10.326301370771628,12.361120499372216
7.017100540821686,10.386592318946576,12.43842835731267
7.184719897114988,10.461381361942598,12.503539498877908
7.3589197576818295,10.520118820621752,12.583437527162442
